City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
521,Minas,UY,50.52,clear sky,-34.3759,-55.2377,Hotel Minas
534,Tazovskiy,RU,47.12,clear sky,67.4667,78.7,TazHostel
536,Yar-Sale,RU,47.28,overcast clouds,66.8333,70.8333,Yalemd
537,Tlaxco,MX,57.09,overcast clouds,19.6167,-98.1167,Hacienda Santa María Xalostoc
539,Rio Gallegos,AR,37.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
541,Vestmannaeyjar,IS,55.31,broken clouds,63.4427,-20.2734,Glamping & Camping
544,Ginir,ET,57.94,overcast clouds,7.1333,40.7,Sura Dare Village
546,Saldanha,ZA,51.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
553,Purranque,CL,47.53,scattered clouds,-40.9167,-73.1667,HOSPADAJE ERICA
555,Nogliki,RU,53.8,overcast clouds,51.8333,143.1667,"Hotel ""Nogliki"""
559,Neryungri,RU,49.26,broken clouds,56.6709,124.6491,Pyat' Zvozd
560,Imeni Poliny Osipenko,RU,52.84,overcast clouds,52.4201,136.4853,Yubileynaya
569,Hokitika,NZ,53.92,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
578,Skjervoy,NO,47.7,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
581,Palana,RU,48.02,broken clouds,59.1167,159.9667,Chikago
587,Sivas,TR,57.83,clear sky,39.7916,37.0019,Sivas Sultan Otel
598,Kiruna,SE,52.72,overcast clouds,67.8557,20.2251,Camp Ripan
603,Swan Hill,AU,50.0,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
605,Pevek,RU,32.85,overcast clouds,69.7008,170.3133,Hotel ABC
606,Parabel,RU,50.83,broken clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
612,Yulara,AU,48.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
615,Ahipara,NZ,58.15,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
616,Turukhansk,RU,54.9,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
619,Constitucion,CL,53.4,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
627,Ilo,PE,59.5,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
636,Ust-Nera,RU,55.11,scattered clouds,64.5667,143.2,Hotel Ust-Nera
637,Darhan,MN,52.97,scattered clouds,49.4867,105.9228,Buudai Hotel
652,Anadyr,RU,45.1,broken clouds,64.75,177.4833,"Гостиница ""Анадырь"""
657,Maarianhamina,AX,51.66,clear sky,60.0973,19.9348,Park Alandia Hotel
662,Atocha,BO,45.1,overcast clouds,-20.9333,-66.2333,hotel paseo madrid
664,Snasa,NO,52.59,overcast clouds,64.2457,12.3778,Snåsa Hotell AS
667,Chapais,CA,49.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
670,Rio Grande,BR,48.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
673,Qasigiannguit,GL,57.45,broken clouds,68.8193,-51.1922,Hotel Diskobay
