City ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Krasnovishersk,RU,60.4078,57.082,50.88,97,33,0.87,scattered clouds
112,Acari,PE,-15.4311,-74.6158,68.04,66,42,7.67,scattered clouds
113,Codrington,AU,-38.2667,141.9667,49.95,78,47,13.62,light rain
114,Saskylakh,RU,71.9167,114.0833,74.14,45,11,6.62,few clouds
115,Longyearbyen,SJ,78.2186,15.6401,39.04,70,40,17.27,scattered clouds
116,Jamestown,US,42.097,-79.2353,69.71,56,75,5.99,broken clouds
117,Teodoro Sampaio,BR,-22.5325,-52.1675,54.18,27,100,5.35,overcast clouds
118,Fairbanks,US,64.8378,-147.7164,69.76,58,90,4.61,overcast clouds
119,Morant Bay,JM,17.8815,-76.4093,85.62,81,33,12.75,scattered clouds
120,Henties Bay,NA,-22.116,14.2845,65.86,53,0,7.65,clear sky
121,Jablonec,SK,48.3333,17.45,77.49,50,45,2.84,scattered clouds
122,Ntungamo,UG,-0.8833,29.65,72.21,46,98,1.16,overcast clouds
123,Joinville,BR,-26.3044,-48.8456,51.1,82,0,3.44,clear sky
124,Houma,US,29.5958,-90.7195,95.99,65,40,3.44,scattered clouds
125,Willemstad,CW,12.1084,-68.9335,84.11,79,20,14.97,few clouds
126,Gorontalo,ID,0.5412,123.0595,74.08,94,66,2.24,broken clouds
127,Kapaa,US,22.0752,-159.319,87.78,69,20,3.0,few clouds
128,Wasilla,US,61.5814,-149.4394,60.01,79,90,0.0,overcast clouds
129,Awjilah,LY,29.1081,21.2869,87.46,33,4,10.36,clear sky
130,Mwingi,KE,-0.9344,38.0601,62.26,65,68,6.82,broken clouds
131,Sidi Ali,DZ,36.0998,0.4206,82.83,51,88,6.71,overcast clouds
132,Bure,ET,10.7,37.0667,56.25,96,100,0.76,light rain
133,Prince Rupert,CA,54.3161,-130.3201,65.89,87,1,4.61,light rain
134,Te Anau,NZ,-45.4167,167.7167,45.03,95,100,3.22,overcast clouds
135,Sisimiut,GL,66.9395,-53.6735,57.79,52,58,3.85,broken clouds
136,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,5.75,clear sky
137,Georgetown,MY,5.4112,100.3354,76.95,93,20,2.3,moderate rain
138,Kirakira,SB,-10.4544,161.9205,80.73,80,51,8.81,broken clouds
139,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,12.66,light rain
140,Effium,NG,6.6292,8.0593,73.36,91,98,5.59,overcast clouds
141,Barabai,ID,-2.5833,115.3833,72.99,97,96,2.19,overcast clouds
